1,1,9.99000999000999E-4,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
104,1,0.1038961038961039,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
104,2,0.1038961038961039,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
105,1,0.1048951048951049,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
105,2,0.1048951048951049,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
106,1,0.10589410589410589,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
106,2,0.10589410589410589,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
107,1,0.1068931068931069,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
107,2,0.1068931068931069,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
108,1,0.10789210789210789,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
108,2,0.10789210789210789,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
109,1,0.1088911088911089,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
109,2,0.1088911088911089,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
110,1,0.10989010989010989,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
110,2,0.10989010989010989,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
111,1,0.1108891108891109,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
111,2,0.1108891108891109,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
112,1,0.11188811188811189,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
112,2,0.11188811188811189,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
113,1,0.11288711288711288,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
113,2,0.11288711288711288,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
114,1,0.11388611388611389,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
114,2,0.11388611388611389,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
115,1,0.11488511488511488,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
115,2,0.11488511488511488,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
116,1,0.11588411588411589,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
116,2,0.11588411588411589,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
117,1,0.11688311688311688,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
117,2,0.11688311688311688,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
118,1,0.11788211788211789,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
118,2,0.11788211788211789,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
119,1,0.11888111888111888,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
119,2,0.11888111888111888,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
120,1,0.11988011988011989,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
120,2,0.11988011988011989,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
121,1,0.12087912087912088,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
121,2,0.12087912087912088,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
122,1,0.12187812187812187,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
122,2,0.12187812187812187,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
123,1,0.12287712287712288,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
123,2,0.12287712287712288,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
124,1,0.12387612387612387,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
124,2,0.12387612387612387,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
125,1,0.12487512487512488,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
125,2,0.12487512487512488,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: September])
126,1,0.1258741258741259,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
126,2,0.1258741258741259,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
127,1,0.12687312687312688,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
127,2,0.12687312687312688,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
128,1,0.12787212787212787,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
128,2,0.12787212787212787,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
129,1,0.12887112887112886,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
129,2,0.12887112887112886,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
130,1,0.12987012987012986,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
130,2,0.12987012987012986,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
131,1,0.13086913086913088,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
131,2,0.13086913086913088,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
132,1,0.13186813186813187,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
132,2,0.13186813186813187,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
133,1,0.13286713286713286,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
133,2,0.13286713286713286,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
134,1,0.13386613386613386,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
134,2,0.13386613386613386,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
135,1,0.13486513486513488,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
135,2,0.13486513486513488,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
136,1,0.13586413586413587,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
136,2,0.13586413586413587,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
137,1,0.13686313686313686,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
137,2,0.13686313686313686,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
138,1,0.13786213786213786,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
138,2,0.13786213786213786,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
139,1,0.13886113886113885,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
139,2,0.13886113886113885,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
140,1,0.13986013986013987,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
140,2,0.13986013986013987,boa-negotiator.boaframework.offeringstrategy.other.TimeDependent_Offering_e_min_k_max-negotiator.boaframework.acceptanceconditions.other.AC_Next_a_b-negotiator.boaframework.opponentmodel.HardHeadedFrequencyModel_l-negotiator.boaframework.omstrategy.BestBid_t@141,(Offer  bid:Bid[Location: Tu Delft, Morning Slot: Mr. Bidarra, Afternoon Slot: Mr. Talkolot, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: October])
141,1,0.14085914085914086,shimizu_agent@140,(Offer  bid:Bid[Location: TU Twente, Morning Slot: Mr. Goedeovergeburen, Afternoon Slot: Miss. Getbizzy, Evening Slot: Mr. LeeLoo, Drinks: non-Alcoholic beverages, Date: December])
